SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2229653,284348,-45,136399.635,135000,0.0,0.0,0.0,0.0,6750.0,0.0,0.0,126236.88,136399.635,136399.635,0.0,0,0.0,0.0,48.0,Active,1,1
1786293,156412,-77,0.0,90000,0.0,0.0,0.0,0.0,0.0,1275.84,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,Active,0,0
2199394,397441,-88,0.0,180000,0.0,0.0,0.0,0.0,9000.0,115200.0,115200.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Active,0,0
1171732,364620,-6,345647.43,337500,84600.0,84600.0,0.0,0.0,16579.215,16650.0,16650.0,312288.525,335103.93,335103.93,6.0,6,0.0,0.0,2.0,Active,0,0
1798989,361308,-69,93392.505,202500,0.0,0.0,0.0,0.0,10125.0,22500.0,22500.0,88767.72,93392.505,93392.505,0.0,0,0.0,0.0,18.0,Active,0,0
2226483,285606,-55,0.0,112500,0.0,0.0,0.0,0.0,67.5,652.5,86.445,0.0,0.0,0.0,0.0,0,0.0,0.0,45.0,Active,0,0
2776410,188469,-13,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2248451,407521,-94,91346.67,90000,4500.0,4500.0,0.0,0.0,4500.0,4500.0,4500.0,87259.095,91346.67,91346.67,1.0,1,0.0,0.0,3.0,Signed,0,0
1083061,159207,-8,22897.35,90000,45000.0,105373.35,0.0,60373.35,2985.525,45000.0,45000.0,21901.545,22897.35,22897.35,1.0,29,0.0,28.0,3.0,Active,0,0
1052719,109803,-48,77550.03,135000,0.0,0.0,0.0,0.0,9450.0,18000.0,8550.0,76149.135,77973.03,77973.03,0.0,0,0.0,0.0,1.0,Active,0,0
2006678,415337,-85,179710.155,180000,0.0,0.0,0.0,0.0,9000.0,18000.0,18000.0,172848.375,179710.155,179710.155,0.0,0,0.0,0.0,3.0,Active,0,0
1211157,171412,-11,0.0,0,0.0,0.0,0.0,0.0,0.0,642.15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,Active,0,0
1546738,443702,-19,0.0,0,0.0,0.0,0.0,0.0,0.0,6819.075,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,14.0,Active,0,0
1064557,316274,-30,224852.94,270000,0.0,0.0,0.0,0.0,11613.015,13275.0,13275.0,215559.0,226512.72,226512.72,0.0,0,0.0,0.0,14.0,Active,8,8
2313181,244944,-46,0.0,45000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
2820448,184966,-79,55923.975,67500,0.0,0.0,0.0,0.0,3375.0,6750.0,6750.0,54031.5,55923.975,55923.975,0.0,0,0.0,0.0,20.0,Active,0,0
1330252,298735,-47,67.5,0,0.0,0.0,0.0,0.0,0.0,2179.485,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,Active,0,0
1067533,124574,-48,124495.47,180000,0.0,0.0,0.0,0.0,9000.0,11250.0,11250.0,118850.625,124495.47,124495.47,0.0,0,0.0,0.0,37.0,Active,0,0
2830912,263655,-17,32869.935,67500,0.0,0.0,0.0,0.0,3375.0,5625.0,5625.0,31199.4,32869.935,32869.935,0.0,0,0.0,0.0,77.0,Active,0,0
1739562,193514,-11,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2600656,450308,-9,99195.795,450000,0.0,0.0,0.0,0.0,5423.67,13500.0,13500.0,94972.995,99195.795,99195.795,0.0,0,0.0,0.0,87.0,Active,0,0
1376839,305620,-1,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1710422,187457,-34,48804.21,112500,45000.0,45000.0,0.0,0.0,0.0,342.495,0.0,44657.505,48804.21,48804.21,2.0,2,0.0,0.0,22.0,Active,0,0
