SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1327604,127360,Consumer loans,5318.1,27616.5,26082.0,2763.0,27616.5,WEDNESDAY,10,Y,1,0.1043216565026236,,,XAP,Approved,-1210,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,384,Consumer electronics,6.0,high,POS household with interest,365243.0,-1174.0,-1024.0,-1024.0,-1017.0,0.0
1830718,218834,Cash loans,19737.945,135000.0,165226.5,,135000.0,WEDNESDAY,8,Y,1,,,,XNA,Approved,-1223,XNA,XAP,Unaccompanied,New,XNA,Cash,walk-in,Credit and cash offices,0,XNA,12.0,high,Cash Street: high,365243.0,-1193.0,-863.0,-863.0,-855.0,1.0
1258084,104079,Consumer loans,3304.71,36184.5,32562.0,3622.5,36184.5,FRIDAY,11,Y,1,0.1090309889091134,,,XAP,Approved,-606,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,12.0,middle,POS mobile with interest,365243.0,-574.0,-244.0,-574.0,-569.0,0.0
2257201,389250,Consumer loans,10912.545,240948.0,240948.0,0.0,240948.0,SATURDAY,9,Y,1,0.0,,,XAP,Approved,-755,Cash through the bank,XAP,Unaccompanied,Refreshed,Audio/Video,POS,XNA,Country-wide,4000,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-724.0,-34.0,-34.0,-26.0,0.0
1038283,385546,Cash loans,,0.0,0.0,,,THURSDAY,13,Y,1,,,,XNA,Canceled,-301,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2463161,191453,Cash loans,23986.89,373500.0,408010.5,,373500.0,MONDAY,10,Y,1,,,,XNA,Approved,-541,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,middle,Cash X-Sell: middle,365243.0,-511.0,179.0,365243.0,365243.0,1.0
1852429,234120,Cash loans,23965.83,225000.0,239850.0,,225000.0,WEDNESDAY,15,Y,1,,,,XNA,Approved,-1457,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1427.0,-1097.0,-1097.0,-1089.0,1.0
1870639,250203,Cash loans,56076.705,450000.0,532516.5,,450000.0,MONDAY,13,Y,1,,,,XNA,Approved,-1228,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1198.0,-868.0,-958.0,-956.0,1.0
1479977,448956,Cash loans,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XNA,Canceled,-412,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2644815,376118,Consumer loans,12146.265,116955.0,93555.0,23400.0,116955.0,SUNDAY,18,Y,1,0.2179019902759802,,,XAP,Approved,-324,Cash through the bank,XAP,,Repeater,Computers,POS,XNA,Country-wide,25,Connectivity,10.0,high,POS mobile with interest,365243.0,-290.0,-20.0,-20.0,-16.0,0.0
